complaint_id,date_received,district_occurrence,general_cap_classification,summary,incident_date_extract,incident_time_extract,objectid
22-0546,2022-11-21 05:00:00+00,1900,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 11-15-22 at 6:15 PM, while in the 19th District, they were improperly stopped and ticketed for failing to stop at a stop sign. The complainant states that after they received their ticket, they witnessed the officer go through a stop sign.",2022-11-15,06:15 PM,7032
22-0547,2022-11-22 05:00:00+00,3900,LACK OF SERVICE,"According to the complainant, on 10-10-22 at 2:00 AM, while in the confines of the 39th District, they were involved in a car accident. The complainant states that when they obtained their accident report, they found that that the report had been written incorrectly by the responding officer.",2022-10-10,02:00 AM,7033
22-0548,2022-11-22 05:00:00+00,1200,LACK OF SERVICE,"According to the complainant, on 9-11-22 at 9:40 AM, while in the confines of the 12th District, their family member was driving their vehicle. The complainant¿s family member was stopped by police and arrested. The complainant states that their family member was arrested after police found their weapon in their vehicle. The weapon was accidently left in the back seat of their car. The complainant states that the assigned detective failed to do a proper investigation and arrested their family member.",2022-09-11,09:40 AM,7034
22-0549,2022-11-23 05:00:00+00,3500,LACK OF SERVICE,"According to the complainant, on 8-18-21 at 6:00 PM, while in the confines of the 35th District, their neighbors attacked them. The complainant states that the officers took their neighbor¿s word over theirs and allowed them to make a false police report against them. One of the officers told the complainant to shut up. The complainant went to the 35th District to file their report and was told that they could not, because there had been a report already filed for the incident. The complainant states that after speaking to a supervisor, the supervisor told the officer to take their report.",2021-08-18,06:00 PM,7035
22-0550,2022-12-06 05:00:00+00,0900,UNPROFESSIONAL CONDUCT,"According to the complainant, on 11-23-22 at 1:38 AM, they were verbally abused by an unknown 911 dispatcher / call taker. They called 911 after being stuck in traffic for approximately 45 minutes due to an auto accident. The complainant asked the 911 operator for an estimated time that the accident would clear. The complainant told the operator that they could not see if police were on location. The operator accused them of lying, had an attitude and disconnected the call. The complainant called a couple more times and was also hung up on. The complainant also states that the operator refused to identify themselves.",2022-11-23,01:38 AM,7036
22-0551,2022-11-29 05:00:00+00,0800,HARASSMENT,"According to the complainant, they are alleging that on 11-24-22 at 6:00 PM, an officer abused their power of authority by attempting to keep them from their family member. The complainant states that the officer has made false accusations and has threatened police action against them. The complainant states that they flagged down an officer in reference to the officer and their family member following them. The complainant states that the officer told them to go home and wait for someone to take their report. The complainant states that the officer did not return to take their report but their family member had a report, which was one sided.",2022-11-24,06:00 PM,7037
22-0552,2022-11-23 05:00:00+00,0900,LACK OF SERVICE,"According to the complainant, on 11-18-22 at 1:15 PM, while in the confines of the 9th District, they parked their vehicle in a parking garage, when they were approached by an attendant, asking them if they were police affiliated. The complainant told the attendant that they had a permit and when they returned to the garage, the attendant asked to speak to them. The attendant asked the complainant for police identification and the complainant said they never said they were a police employee just that they had a permit. The complainant states that two officers approached them but did not introduce themselves, nor were their badges visible to them. The complainant again reiterated that they had a permit and that their family member is a police dispatcher. One of the officers took the permit and said that the complainant¿s family member could pick up the permit at police headquarters.",2022-11-18,01:15 PM,7038
22-0553,2022-11-23 05:00:00+00,1800,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 9-16-22 at 11:30 PM, while in the confines of the 18th District, a detective went through their wallet and digital recorder without their permission. The complainant states that the detective looked at their personal journal and their day-to-day interactions with a human resource agency. The complainant states that these items did not have anything to do with case that the detective was handling.",2022-09-16,11:30 PM,7039
22-0554,2022-11-22 05:00:00+00,1500,LACK OF SERVICE,"According to the complainant, on 11-16-22 at 4:30 PM, while in the confines of the 15th District, they were assaulted by an individual and sustained back injuries. The complainant called 911 twice but no officers responded. The complainant states that they called the district and the commanding officer only suggested that they call 911 to file a report.",2022-11-16,04:30 PM,7040
22-0555,2022-11-23 05:00:00+00,0600,VERBAL ABUSE,"According to the complainant, on 11-20-22 at 8:10 AM, while in the confines of the 6th District, they were working as a valet. The complainant states that he spoke to an officer about traffic patterns during an event. The complainant states that during the interaction with the officer, they were called inappropriate names, in an effort to make them feel weak and intimidated. The officer also called the complainant a liar because they mentioned that they had already talked to another officer prior about this situation.",2022-11-20,08:10 AM,7041
22-0556,2022-11-23 05:00:00+00,0600,VERBAL ABUSE,"According to the complainant, on 11-19-22 at 2:30 PM, while in the confines of the 6th District, they witnessed an officer verbally abuse the share driver. The complainant states that when a driver stopped to pick up a passenger, an officer approached them and began yelling at them. The officer was loud and aggressively shouting at the driver. When the driver moved their vehicle, the officer followed and pulled them over. The complainant states that the officer continued to shout at the driver, threatening to handcuff and take them to jail, if they did not give the officer their information.",2022-11-19,02:30 PM,7042
22-0557,2022-11-25 05:00:00+00,0800,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 11-19-22 at 5:00 AM, while in the confines of the 8th District, they were approached by an officer in reference to a silent alarm, as they were working as a security guard. The complainant explained that they had everything under control but the officer turned the encounter into a criminal investigation. The complainant asked for a supervisor but the officer called for backup instead. The complainant states that the officer made several sarcastic comments to them about being an ex-cop.",2022-11-19,05:00 AM,7043
22-0558,2022-11-25 05:00:00+00,7700,VERBAL ABUSE,"According to the complainant, on 11-21-22 at 8:15 PM, while in the confines of the Airport District, they were picking up a family member and were approached by an officer, who told them to move their car. The complainant explained that they were an ex-cop and that they were waiting for their family member to come out but the officer said they didn¿t care. The complainant states that the officer¿s voice went from loud to screaming at them. The complainant states that they began to slowly move their car due to traffic and the officer walked up to their car again, screaming for them to move their car.",2022-11-21,08:15 PM,7044
22-0559,2022-11-25 05:00:00+00,2500,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 10-24-22 at 4:30 PM, while in the confines of the 25th District, an officer jumped out of their patrol car and stopped them, after they put their vehicle in reverse. The complainant states that the officer had no reason to stop them other than that they were a different race from them. The officer said that they were taking their car no matter what.",2022-10-24,04:30 PM,7045
22-0560,2022-11-25 05:00:00+00,1400,DEPARTMENTAL VIOLATIONS,"According to the complainant, they alleged a social media violation by an off-duty sergeant assigned to the 14th District. The complainant alleged that the sergeant posted a racist remark on a social media account.",,,7046
22-0561,2022-11-25 05:00:00+00,0300,LACK OF SERVICE,"According to the complainant, on 10-18-22 at 4:00 PM, while in the confines of the 3rd District, they were threatened by an individual and ran from the scene. The complainant states that they flagged down a patrol car and told the officers what had happened. The complainant states that the officers had no sense of urgency nor were they concerned about an individual threatening people with a knife. The officers asked the complainant to go with them to the restaurant but the complainant refused due to having to get to another appointment. The complainant states that the officers¿ attitude was that if you cannot get into the patrol car, then they would be unwilling to investigate the incident.",2022-10-18,04:00 PM,7047
22-0562,2022-11-25 05:00:00+00,0300,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 11-2-22 at 10:20 PM, while in the confines of the 3rd District, they were treated unprofessionally and an improper ticket was issued by a Traffic District officer. They were stopped by police. The complainant states that the officer aggressively pulled their patrol car in front of them. The officer approached, with their hand near their firearm. The complainant states that they were issued a ticket for not obeying traffic control devices, which they dispute.",2022-11-02,10:20 PM,7048
22-0563,2022-11-25 05:00:00+00,2500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 11-23-22 at 11:30 AM, while in the confines of the 25th District, United States Currency was taken by two unknown Highway Patrol officers. While parked, they were approached by police. The complainant states that they were placed in the back of a police vehicle. The officers went into the complainant¿s vehicle and took United States Currency. The complainant states that the officers told them that they would have to go to court to retrieve their money.",2022-11-23,11:30 AM,7049
22-0575,2022-12-05 05:00:00+00,1900,DEPARTMENTAL VIOLATIONS,"According to the complainant, while in the confines of the 19th District, officers stopped them as they were walking. The complainant states that the officers approached them with their guns drawn and asked them to put their face on the ground. The complainant repeatedly told the officers that they had the wrong person. The complainant states that one of the officers gave them negative feedback, when they told the officers that they had not done anything wrong.",,,7061
22-0576,2022-12-06 05:00:00+00,1200,DEPARTMENTAL VIOLATIONS,"According to the complainant, 12th District officers violated departmental policies. They watched a social media video of a person that was stopped by police. During the stop, officers refused to identify themselves.",,,7062
22-0577,2022-12-09 05:00:00+00,1800,LACK OF SERVICE,"According to the complainant, on 12-2-22 at 1:15 PM, while in the confines of the 18th District, they were involved in an altercation with the management over unsatisfactory services. Police arrived and the complainant was informed that they had to pay the full amount and write a review or go to jail. The complainant also states that the officer consistently grabbed at their taser.",2022-12-02,01:15 PM,7063
22-0578,2022-12-06 05:00:00+00,2500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-1-22, while in the confines of the 25th District, they were harassed and property is missing by two Narcotics Unit officers. They were harassed by officers after they were involved in an auto accident. The complainant states that they are now missing their wallet. The complainant states that one of the officers is related to their tenant.",2022-12-01,,7064
22-0579,2022-12-06 05:00:00+00,0300,PHYSICAL ABUSE,"According to the complainant, on 12-4-22 at 5:30 PM, while in the confines of the 1st District, they were thrown to the ground and manhandled by police.",2022-12-04,05:30 PM,7065
22-0580,2022-12-08 05:00:00+00,3500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 9-12-22 at 6:00 AM, while in the confines of the 35th District, Homicide Unit detectives and unknown SWAT officers violated departmental policies. SWAT officers broke the door to their home and entered the property. An officer pointed a firearm in a family member¿s face. Detectives entered the property, refused to show a warrant, provide a card or put their names on any reports. The complainant also states that their firearm was taken.",2022-09-12,06:00 AM,7066
22-0581,2022-12-06 05:00:00+00,0800,UNPROFESSIONAL CONDUCT,"According to the complainant, on 11-25-22 at 5:00 PM, while in the confines of the 8th District, they did not receive proper service from a detective and were treated unprofessionally by a lieutenant assigned to Northeast Detective Division. They were assaulted by their spouse¿s children. The complainant states that when they contacted Northeast Detective Division, the lieutenant was rude to them. The complainant also states that the detective is siding with their spouse, because they know that they are a retired cop.",2022-11-25,05:00 PM,7067
22-0582,2022-12-09 05:00:00+00,0500,PHYSICAL ABUSE,"According to the complainant, on 1-13-18, while in the confines of the 5th District, they were physically abused by unknown SWAT officers and harassed by their neighbor, an off-duty SWAT officer. An ambulance arrived to treat them for a medical condition. SWAT officers also arrived and dragged the complainant out of the house to a waiting gurney. The complainant states that they were touched inappropriately throughout their body by the officers. The complainant feels that the officer sent the SWAT officers to their house out of retaliation for prior neighbor disputes.",2018-01-13,,7068
22-0583,2022-12-06 05:00:00+00,2500,PHYSICAL ABUSE,"According to the complainant, on 11-18-22 at 9:30 PM, while in the confines of the 25th District, they were physically abused by a 25th District officer. The officer punched them twice on their left eyebrow. The complainant states that they began to bleed. An officer took the complainant to receive medical treatment. The complainant states that they received two stitches.",2022-11-18,09:30 PM,7069
22-0584,2022-12-06 05:00:00+00,2600,LACK OF SERVICE,"According to the complainant, on 5-2-22 at 5:35 AM, while in the confines of the 26th District, they did not receive proper service from a detective assigned to the East Detective Division. Their child passed away. Officers responded, along with a detective. The complainant states that the detective failed to investigate their child¿s sudden death.",2022-05-02,05:35 AM,7070
22-0585,2022-12-09 05:00:00+00,1900,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 8-15-21 at 5:00 PM, while in the confines of the 19th District, an off-duty 35th District officer violated departmental policies. They entered into a partnership agreement of a trucking company with the officer. During their partnership, they had disagreements over funds. During a court proceeding, the complainant states that the officer lied. The complainant also alleged that the officer did not live in Philadelphia during the first 2 years of his employment with the city.",2021-08-15,05:00 PM,7071
22-0586,2022-12-09 05:00:00+00,2500,VERBAL ABUSE,"According to the complainant, beginning in 2018, they were verbally abused and did not receive proper service from a detective Special Victims Unit. They have reported abuse of their child by the child¿s other parent. The detective was assigned to the case. The complainant states that the detective has suggested that they leave their child at the district so they can put them in foster care. The complainant states that the detective has not investigated their child¿s other parent.",,,7072
22-0587,2022-12-08 05:00:00+00,0500,LACK OF SERVICE,"According to the complainant, on 12-5-22 at 4:33 PM, while in the confines of the 6th District, they did not receive proper service from a 6th District officer. They were issued a ticket. When the complainant asked the officer if they could ask them a question, the officer ignored them, entered their vehicle and drove away.",2022-12-05,04:33 PM,7073
22-0588,2022-12-08 05:00:00+00,2500,LACK OF SERVICE,"According to the complainant, on 9-21-22 at 9:00 AM, while in the confines of the 25th District, they did not receive proper service from a 25th District officer. The officer responded for a landlord/tenant issue. The complainant states that the officer failed to properly document the incident",2022-09-21,09:00 AM,7074
22-0589,2022-12-09 05:00:00+00,1400,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-6-22, while in the confines of the 14th District, a sergeant and an officer from the 14th District violated departmental policies.Officers broke the door to their home and pointed a flashlight in their direction.The complainant asked them why they broke the door.The officers claimed it was their spouse and not the police who broke the door.The complainant states that their spouse has not lived there and a sergeant failed to verify that information.",2022-12-06,,7075
22-0590,2022-12-12 05:00:00+00,2200,VERBAL ABUSE,"According to the complainant, on 7-3-22, while in the confines of the 22nd District they were verbally abused and did not receive proper service from a 22nd District lieutenant. Officers responded for a domestic. The lieutenant sent a certified letter to the complainant to discuss the situation. On 12-1-22, the lieutenant came to the complainant¿s home on another matter. The complainant states that they tried to talk to the lieutenant, but the lieutenant said, ¿I sent you a certified letter. You didn¿t respond, so I¿m not going to talk to you.¿",2022-07-03,,7076
22-0591,2022-12-12 05:00:00+00,2200,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-6-22 at 12:00 PM, while in the confines of the 22nd District, unknown officers abused their authority and did not provide proper service. Officers arrived to tow theirabandoned trailer. The complainant told the officers that it was not abandoned and requested a supervisor. The complainant states that they have been parking the trailer there since 2017 and that there are no signs stating no truck parking. The complainant offered to get their truck and move their trailer, but was denied. The complainant retrieved their truck and as they approached, an officer stepped in front of their truck. Officers threatened to arrest them for disorderly conduct. The complainant states that the trailer was towed and they had to pay a fee to get it back.",2022-12-06,12:00 PM,7077
22-0592,2022-12-12 05:00:00+00,1200,LACK OF SERVICE,"According to the complainant, on 7-29-22 at 4:00 PM, while in the confines of the 12th District, they did not receive proper service from a detective assigned to Southwest Detective Division. They reported their child missing. The detective was assigned the case. The complainant states that months passed and they did not hear anything from the detective. On 11-4-22, a note was left in their door to call the detective. The complainant called the detective. The detective told the complainant that they had an incorrect number, which is why they never called.The complainant asked the detective why didn¿t they come by their home, and the detective had no response.",2022-07-29,04:00 PM,7078
22-0593,2022-12-12 05:00:00+00,1800,UNPROFESSIONAL CONDUCT,"According to the complainant, on 12-4-22 at 4:30 PM, while in the confines of the 18th District, a 12th District and 16th District officer acted unprofessionally. They were arrested and transported to the 18th District cellroom. During their stay, an officer used abusive and offensive language. The complainant states that the officer was rude. The complainant states that the other officer giggled and laughed throughout their stay at the district.",2022-12-04,04:30 PM,7079
21-0031,2021-01-25 05:00:00+00,0200,DEPARTMENTAL VIOLATIONS,"According to the complainant, a 2nd District officer violated departmental policies while in the confines of the 2nd District. On 1-24-21 at 5:37 PM, they were stopped by police. The officer approached their vehicle without a face covering and no regard for social distancing.",2021-01-24,05:37 PM,5901
22-0594,2022-12-21 05:00:00+00,2200,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 12-10-22 at 1:00 AM, while in the confines of the 22nd District, they did not receive proper service from an unknown 22nd District officer. They went to the district and requested a complaint against police form. An officer asked the complainant for their identification. When the complainant asked the officer if they had to show their identification for race and gender, the officer told them that they were color blind.",2022-12-10,01:00 AM,7080
22-0595,2022-12-14 05:00:00+00,2200,HARASSMENT,"According to the complainant, on 12-10-22 at 5:07 PM, while in the confines of the 22nd District, they were harassed, treated unprofessionally and verbally abused by a 22nd District officer. They were notified by an officer that their family member, who suffers from medical conditions, was found walking on the highway barefoot. The complainant states that they told the officer that they were out of town and would attempt to contact someone to get them. The officer called the complainant back and told them that they would take their family member to the district for someone to pick them up. The complainant states that they then received several harassing calls from another officer¿s cell phone. The officer yelled and used profanities at them. The complainant hung up on them. The officer proceeded to call them several more times. After the complainant ignored the calls, the officer sent two inappropriate text messages to their phone.",2022-12-10,05:07 PM,7081
22-0596,2022-12-14 05:00:00+00,0900,LACK OF SERVICE,"According to the complainant, on 11-24-22 at 1:45 PM, while in the confines of the 9th District, they did not receive proper service from unknown 9th District officers. They witnessed someone being attacked on the highway. The complainant states they ran over to officers who were standing on the street for help. The officers followed the complainant back, but repeatedly stated that they were not going to do anything because there was no victim. The complainant asked them for their badge numbers, but they refused.",2022-11-24,01:45 PM,7082
22-0597,2022-12-14 05:00:00+00,0300,UNPROFESSIONAL CONDUCT,"According to the complainant, on 12-10-22 at 12:10 PM, while in the confines of the 3rd District, they were verbally abused by a sergeant assigned to the Traffic District.The complainant attempted to enter a parking lot and was informed by an officer that they could not get through.The complainant showed the officer their parking pass. The officer told the complainant to speak to their sergeant. The complainant approached the sergeant and asked them if there was a way to access the lot. The sergeant aggressively told them that they were not getting into the parking lot. The sergeant proceeded to use profanities. The complainant states that they had young children in their vehicle that had to witness the sergeant¿s behavior.",2022-12-10,12:10 PM,7083
22-0598,2022-12-14 05:00:00+00,0900,UNPROFESSIONAL CONDUCT,"According to the complainant, on 12-12-22 at 3:41 PM, on behalf of a family member, states that their family member did not receive proper service from an unknown 911 call taker. Their family member called 911 after being involved in an auto accident with injuries. The complainant states as their family member was explaining what occurred, the call taker hung up the phone.",2022-12-12,03:41 PM,7084
22-0599,2022-12-14 05:00:00+00,1200,UNPROFESSIONAL CONDUCT,"According to the complainant, on 12-12-22 at 5:00 PM, they were treated unprofessionally and verbally abused by a 12th District officer.The complaint was stopped by police, and the officer verbally abused them in front of their children.The complainant states that they have this on video.",2022-12-12,05:00 PM,7085
22-0600,2022-12-14 05:00:00+00,,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 4-21-22 at 12:00 AM, while in the confines of another jurisdiction, they were harassed and false allegations were made bytheirex-significant other, an off-duty 9th District officer. While at their home, they were locked in a room and not given any food by the officer. The complainant states that the officer made them perform acts on them in order for them to reside at the home. The officer has mentally abused them and made false allegations against them.",2022-04-21,12:00 AM,7086
22-0601,2022-12-15 05:00:00+00,1800,LACK OF SERVICE,"According to the complainants, on 12-13-22 at 10:00 AM, while in the confines of the 18th District, they did not receive proper service from 18th District officers. Officers responded to a domestic incident. The complainants state that the officers left without speaking to them. The complainants called 911 again for police assistance. While on the phone, they heard an officer say that they were there and this is the games that they play.",2022-12-13,10:00 AM,7087
22-0602,2022-12-15 05:00:00+00,1200,LACK OF SERVICE,"According to the complainants, on 12-13-22 at 10:29 PM, while in the confines of the 12th District, they did not receive proper service from 12th District officers. Police responded for a report of someone breaking in. The complainants stated that the officers did not handle the incident correctly. The complainants had to call 911 again for police assistance and to make a report for vandalism.",2022-12-13,10:29 PM,7088
22-0603,2022-12-20 05:00:00+00,1200,DEPARTMENTAL VIOLATIONS,"According to the complainants, on 12-17-22 at 4:50 PM, while in the confines of the 12th District, their child is being harassed by a 12th District officer. Their child was stopped because of the tint on the windows. The complainant states that the same officer is harassing their child because every time the officer sees them, they pull them over because of the tint on the windows.",2022-12-17,04:50 PM,7089
22-0604,2022-12-22 05:00:00+00,2400,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-12-22 at 8:00 AM, while in the confines of the 24th District, they did not receive proper service and departmental policies were violated by unknown 24th District officers. They were arrested by police. The complainant states that the officers refused to give them medical attention. The complainant was later taken to the hospital. The complainant states that their vehicle was taken to a police unit and not returned. The complainant¿s vehicle contained their wallet, money and heart medication. The complainant states that they have been calling the 24th District, but officers keep hanging up the phone on them.",2022-12-12,08:00 AM,7090
22-0605,2022-12-22 05:00:00+00,1600,VERBAL ABUSE,"According to the complainant, on 12-19-22 at 11:50 PM, while in the 16th District, they were verbally abused by a 16th District officer. They were stopped by the officer. The complainant states that the officer was disrespectful and took their car keys for no reason. The officer told them that they would issue them a ticket for speeding, but actually made it for reckless endangerment. The complainant asked the officer for their name and badge number. The officer directed them to the ticket.",2022-12-19,11:50 PM,7091
22-0606,2022-12-22 05:00:00+00,0900,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-19-22, while in the confines of the 9th District, an unknown officer violated departmental policies and parked illegally. They noticed a private vehicle repeatedly parking in a handicapped parking spot. The complainant states that the vehicle has a license plate partially obscured with a badge that says ¿Fraternal Order of Police.¿The complainant also states that there is a dark window tint on the windows and there is no visible handicap placard.",2022-12-19,,7092
19-0375,2019-08-13 04:00:00+00,3500,HARASSMENT,"According to the complainant, since 2009, they have been harassed by officers assigned to the 35th and 15th District.",,,4909
22-0607,2022-12-22 05:00:00+00,7700,VERBAL ABUSE,"According to the complainant, on 12-18-22 at 12:10 AM, while in the confines of the Airport Unit, they were verbally abused by an unknown officer assigned to the Airport Unit. They pulled their vehicle over. An officer was directing traffic and waving everyone to move along. As the complainant attempted to ask the officer a question, the officer approached and said, ¿Why do you think you¿re different?¿",2022-12-18,12:10 AM,7093
